,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.0005905462503987738,0.00026585403877802316,0.0012027928720089128,0.0004499655322113575
1,3,0.0006047779506499971,0.0002893222319638095,0.001232892047613831,0.00048189576503472473
2,6,0.0005412700095565828,0.0002286409870551479,0.0012447655576984537,0.00046017220080060033
3,9,0.000690479146880197,0.0002972257287194269,0.0014457798389990357,0.0005265839610081217
4,12,0.0008343013210607955,0.0003523172590948427,0.001744081658206235,0.0006262148158435045
5,15,0.0007396272636900225,0.00032082250924865893,0.0016818179478184584,0.0006243513793717248
6,18,0.0010318439790239153,0.0004128466429901909,0.0020992246902488605,0.0007497290563406904
7,21,0.0010517816422310174,0.0004533949025246254,0.002437041868914318,0.0008783149123149066
8,24,0.00101508095564202,0.00042982706268350886,0.0028084667624818527,0.0009630452447767302
9,27,0.001203655489383918,0.0005062077415938641,0.003116670318738828,0.0010708422047650608
10,30,0.001106183191654334,0.00046228438319009297,0.0029737201450527923,0.0010272401920762306
11,33,0.0014578221066606687,0.0006344187966243487,0.0041055514633429255,0.0013857864502209206
12,36,0.001460945684272778,0.0005939143080844988,0.0044275391967303675,0.0014605438055082945
13,39,0.001599575957043253,0.0006358654116114422,0.004868575819971713,0.001563989897222744
14,42,0.0015541573113794596,0.0006620324888141036,0.00451790449670853,0.0015469858522756603
15,45,0.002232449826108542,0.0009113555178650107,0.005835177860470362,0.001963631803463248
16,48,0.0023282814538581284,0.0009290426710644903,0.006113878201130792,0.002036798016413594
17,51,0.0022604850709187076,0.0009298367613968739,0.0066348147053700395,0.0021838273679707816
18,54,0.002008955797996809,0.0008606088377235773,0.006520395549361743,0.0021545305446086867
19,57,0.002204705547911795,0.0009331864416493403,0.0063241358760163045,0.0021529525109355244
20,60,0.0029704610441978244,0.0012419442200022,0.007319237009385417,0.0025140760303005716
21,63,0.002851323487050319,0.0011931831813463288,0.0074793175605546046,0.002562366320347246
22,66,0.0031704143421885695,0.0013117739784400213,0.007784479522155628,0.0026634352394497183
23,69,0.003096099905942516,0.001338274325280045,0.008338970826399585,0.0028749971929105216
24,72,0.0033040825163685116,0.0013753599551252047,0.00811561297197249,0.002832114952687606
25,75,0.0037318189971944546,0.0015473886266331644,0.009285307814447606,0.0031669323375689987
26,78,0.003231116951909489,0.001357040021759368,0.00881243206424152,0.002964713367934218
27,81,0.003289386667780031,0.001380625931296687,0.009134956837863636,0.003057186211491778
28,84,0.0036139484662354392,0.0015171945424630147,0.009359792343073447,0.0031691243549287814
29,87,0.0036030364283610307,0.0015119358576470578,0.009952463631611907,0.003380874668446932
30,90,0.00426950039344679,0.0017221225112840715,0.010286008688046043,0.0034790056524955293
31,93,0.003920200198990739,0.001666977988760384,0.009605017436629363,0.00335478161863141
32,96,0.0044958079560737454,0.001879899888502012,0.011001757781041134,0.003782246763552299
33,99,0.004033584813091408,0.0017096138732197474,0.010618860318732472,0.003602046168131432
34,Final,0.004033584813091408,0.0017096138732197474,0.010618860318732472,0.003602046168131432
