,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.016093171377530215,0.0109649385974937,0.030936626954525755,0.016798988090865746
1,3,0.019197065856437795,0.012864096437110461,0.035961921678315134,0.01937496422271089
2,6,0.020181648078927802,0.01365025801799138,0.03777984696549586,0.020496005967640337
3,9,0.021347566844892748,0.014224747204323984,0.039357592661750714,0.021262119636197035
4,12,0.021872460864845216,0.014652483206440414,0.04077788017195223,0.02209114771805577
5,15,0.02252717911179895,0.015128311216610704,0.04162423284154852,0.022620476211675806
6,18,0.022795839478700362,0.01542251412393733,0.04240952713400367,0.02301987378808176
7,21,0.023441597427208475,0.01572439666820566,0.04329162502162764,0.023435834453620474
8,24,0.02337960230216622,0.015866132458349114,0.04386414544982788,0.023872698815006237
9,27,0.024527803152374225,0.01656516961647261,0.0458855158976444,0.024862838547913615
10,30,0.024408835993792514,0.016496414961388775,0.04498772182560621,0.02458204754716927
11,33,0.024750786784039525,0.016770362310026293,0.04641837674017238,0.02520163639115022
12,36,0.025447232403347092,0.01721049758393702,0.04705616749627434,0.02563437853634999
13,39,0.025144425237592097,0.016933699131759402,0.047311834611284895,0.02559711624240549
14,42,0.025028659828129355,0.016862474659532854,0.047436968276299014,0.025589385925702233
15,45,0.024992366212083318,0.016798603967770973,0.0470867640955895,0.025447207147551477
16,48,0.025445317661762813,0.017108044798522962,0.04858537161033566,0.026055588902359976
17,51,0.026008056639833663,0.017350048329981726,0.049146061888874694,0.026357894969040018
18,54,0.025676895391129755,0.017128631002815843,0.04823499742599347,0.02590743963521348
19,57,0.026001207107678705,0.01731867212452937,0.048358133698273555,0.026097932057715593
20,60,0.026001832847749793,0.017331406092522893,0.04845649461273012,0.026193494458274517
21,63,0.02564004805564847,0.017163549311387805,0.048789434232894856,0.026201869696433712
22,66,0.025778825557728178,0.017362650310450856,0.04876346591373865,0.026339774774194878
23,69,0.025805665040908424,0.017298605024213105,0.04873928946564434,0.026202464862434036
24,72,0.025497675117575287,0.017265207737605596,0.04823538425300094,0.026143803036523534
25,75,0.025697644609672502,0.01724343570723271,0.04874207302416981,0.02623968096126547
26,78,0.02632491744674682,0.017590875915992177,0.049342445636510815,0.0265688986440405
27,81,0.025977965201116605,0.017471946635101914,0.04898101887163685,0.026452576865977583
28,84,0.026111243490533634,0.017492372035632572,0.049083331481126875,0.026447315718831507
29,87,0.02531409874623343,0.017102222306729777,0.04894537237977466,0.02627764325965306
30,90,0.025209454517532516,0.01696613325776097,0.04835667318183551,0.026005845878022748
31,93,0.02597877694909542,0.017379699471240823,0.04922042003626243,0.026424388832865082
32,96,0.02555837596105891,0.017166845234285626,0.048331205122699596,0.026038208996718378
33,99,0.025621091799149297,0.017219049229007164,0.04890936439435693,0.026297288165855935
34,Final,0.025621091799149297,0.017219049229007164,0.04890936439435693,0.026297288165855935
